Fold,MAE_train,MAE_test,RMSE_test,R2_test,Iterations
K1,71.33381396177421,84.21549973239443,106.79008605433562,0.6297827028587963,339
K2,63.80638512903798,63.73578475279809,86.76524209099261,0.7400311934639732,258
K3,63.95971595064071,88.0748114320143,109.12895059308585,0.6706551607729432,246
K4,78.20282232740341,80.31104137247652,103.70811546487359,0.6378080846017959,389
K5,41.412995214859784,63.78953328739794,81.41182922053042,0.8207977285842196,445
